 SUMMARY FOR UNIT  72
 Time                      F1温度                    F2温度                    F3温度                    F4温度                    室外温度
  0.6200000000000000E+0002  0.2244890087263720E+0002  0.2327832356563766E+0002  0.2326170957739335E+0002  0.2344663895292175E+0002  0.2200000000000000E+0002
  0.6300000000000000E+0002  0.2326614865088243E+0002  0.2424087437632111E+0002  0.2422786142267551E+0002  0.2441799005712992E+0002  0.2150000000000000E+0002
  0.6400000000000000E+0002  0.2357343112664197E+0002  0.2485186286354136E+0002  0.2482780352182619E+0002  0.2503070473423221E+0002  0.2000000000000000E+0002
  0.6500000000000000E+0002  0.2372694169817081E+0002  0.2552775011036443E+0002  0.2549449173586172E+0002  0.2570476300453498E+0002  0.2025000000000000E+0002
  0.6600000000000000E+0002  0.2300143330407553E+0002  0.2469299330884968E+0002  0.2465457699400491E+0002  0.2486855418828979E+0002  0.1975000000000000E+0002
  0.6700000000000000E+0002  0.2217643001780541E+0002  0.2363869908149003E+0002  0.2358752610860213E+0002  0.2381220994612241E+0002  0.1900000000000000E+0002
  0.6800000000000000E+0002  0.2197806847271661E+0002  0.2342579217410070E+0002  0.2339780535489448E+0002  0.2359755864177403E+0002  0.1855000000000000E+0002
  0.6900000000000000E+0002  0.2172649482299292E+0002  0.2309260586918624E+0002  0.2308902295124688E+0002  0.2326371302927331E+0002  0.1855000000000000E+0002
  0.7000000000000000E+0002  0.2160415086954279E+0002  0.2296193680891658E+0002  0.2296684279132315E+0002  0.2313303672298495E+0002  0.1850000000000000E+0002
  0.7100000000000000E+0002  0.2137765343307881E+0002  0.2275231613516451E+0002  0.2276354437746715E+0002  0.2292383320105793E+0002  0.1725000000000000E+0002
  0.7200000000000000E+0002  0.2121034214040867E+0002  0.2260943269940499E+0002  0.2262118019877675E+0002  0.2278157943923324E+0002  0.1725000000000000E+0002
  0.7300000000000000E+0002  0.2115348008606631E+0002  0.2252499137818043E+0002  0.2254190842818073E+0002  0.2269787027557565E+0002  0.1800000000000000E+0002
  0.7400000000000000E+0002  0.2097364941191388E+0002  0.2238211510605940E+0002  0.2239950746783841E+0002  0.2255574504101064E+0002  0.1660000000000000E+0002
  0.7500000000000000E+0002  0.2073983356380414E+0002  0.2220636822049930E+0002  0.2222271403493493E+0002  0.2238081365278916E+0002  0.1560000000000000E+0002
  0.7600000000000000E+0002  0.2066729726337971E+0002  0.2212635527203969E+0002  0.2214488295201242E+0002  0.2230166460578872E+0002  0.1650000000000000E+0002
  0.7700000000000000E+0002  0.2058683424580979E+0002  0.2204418325867218E+0002  0.2206593957649737E+0002  0.2222032997452262E+0002  0.1625000000000000E+0002
