 SUMMARY FOR UNIT  76
 Time                      F1相对湿度                F2相对湿度                F3相对湿度                F4相对湿度                室外相对湿度
  0.1090000000000000E+0003  0.4964193916644759E+0002  0.5393107356074866E+0002  0.4866884823064866E+0002  0.5307627161146131E+0002  0.6900000000000000E+0002
  0.1100000000000000E+0003  0.4808642266277943E+0002  0.5214152162289296E+0002  0.4698762365320354E+0002  0.5129028416342706E+0002  0.6450000000000000E+0002
  0.1110000000000000E+0003  0.4593218990366507E+0002  0.4888911373844238E+0002  0.4398398151438367E+0002  0.4808257801077634E+0002  0.6050000000000000E+0002
  0.1120000000000000E+0003  0.4437311808711451E+0002  0.4613827589234283E+0002  0.4146107778403962E+0002  0.4537763854530225E+0002  0.5900000000000000E+0002
  0.1130000000000000E+0003  0.4436480066408094E+0002  0.4520655773260660E+0002  0.4059911722463280E+0002  0.4446418052605684E+0002  0.6400000000000000E+0002
  0.1140000000000000E+0003  0.4654038846294632E+0002  0.4757519990129266E+0002  0.4270316805058809E+0002  0.4679487017243694E+0002  0.6800000000000000E+0002
  0.1150000000000000E+0003  0.4922272323271633E+0002  0.5099540489128201E+0002  0.4572842570246986E+0002  0.5016170649636869E+0002  0.7350000000000000E+0002
  0.1160000000000000E+0003  0.5059003654779161E+0002  0.5266714739617731E+0002  0.4711422714421201E+0002  0.5181315751549683E+0002  0.8000000000000000E+0002
  0.1170000000000000E+0003  0.5153560205946766E+0002  0.5385054348082814E+0002  0.4806563413155077E+0002  0.5298262309206453E+0002  0.8500000000000000E+0002
  0.1180000000000000E+0003  0.5232678436633020E+0002  0.5466198746357070E+0002  0.4875795700016151E+0002  0.5378462446183517E+0002  0.9100000000000000E+0002
  0.1190000000000000E+0003  0.5303853626752498E+0002  0.5534697983356928E+0002  0.4935325763344668E+0002  0.5446115021800259E+0002  0.8850000000000000E+0002
  0.1200000000000000E+0003  0.5343356872228405E+0002  0.5579876484188515E+0002  0.4974194172264313E+0002  0.5490808775264606E+0002  0.8550000000000000E+0002
  0.1210000000000000E+0003  0.5381536052777108E+0002  0.5621003036587692E+0002  0.5009846801048054E+0002  0.5531501553207726E+0002  0.8800000000000000E+0002
  0.1220000000000000E+0003  0.5444530582026507E+0002  0.5674920533828575E+0002  0.5057767609740414E+0002  0.5584742448160067E+0002  0.8750000000000000E+0002
  0.1230000000000000E+0003  0.5505905956313276E+0002  0.5727036212216326E+0002  0.5104207378804209E+0002  0.5636191767453273E+0002  0.9350000000000000E+0002
  0.1240000000000000E+0003  0.5542820131302580E+0002  0.5763883940569494E+0002  0.5136472715925606E+0002  0.5672630723710588E+0002  0.9700000000000000E+0002
  0.1250000000000000E+0003  0.5582206127415296E+0002  0.5801115627517854E+0002  0.5169104471290918E+0002  0.5709442737075281E+0002  0.9100000000000000E+0002
  0.1260000000000000E+0003  0.5613778396443727E+0002  0.5832714573768369E+0002  0.5196884120273462E+0002  0.5740723410046442E+0002  0.8300000000000000E+0002
  0.1270000000000000E+0003  0.5635713782600305E+0002  0.5857876864670617E+0002  0.5218734534841922E+0002  0.5765686386723965E+0002  0.8050000000000000E+0002
  0.1280000000000000E+0003  0.5641685932183505E+0002  0.5868759052805939E+0002  0.5228350802198413E+0002  0.5776588873458684E+0002  0.8250000000000000E+0002
  0.1290000000000000E+0003  0.5513882282564093E+0002  0.5787172011045924E+0002  0.5155135554940438E+0002  0.5696218631407475E+0002  0.7500000000000000E+0002
  0.1300000000000000E+0003  0.5323973640862904E+0002  0.5660391571770697E+0002  0.5040500435886300E+0002  0.5570054152331466E+0002  0.6400000000000000E+0002
  0.1310000000000000E+0003  0.5179182246451652E+0002  0.5558818871623935E+0002  0.4949923249408856E+0002  0.5467204841742440E+0002  0.6200000000000000E+0002
  0.1320000000000000E+0003  0.5069168283799986E+0002  0.5481113930651548E+0002  0.4881176610429433E+0002  0.5387289863808061E+0002  0.5850000000000000E+0002
  0.1330000000000000E+0003  0.4892701965970181E+0002  0.5356725685716010E+0002  0.4769825521592393E+0002  0.5262020675791884E+0002  0.5150000000000000E+0002
