 SUMMARY FOR UNIT  62
 Time                      新风机能耗/kWh            送风机能耗/kWh            冷冻水泵能耗/kWh          冷却水泵能耗/kWh          冷水机组能耗/kWh          冷却塔能耗/kWh            系统总能耗/kWh
  0.1608000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1847999863265111E+0003  0.1895999859713556E+0003  0.3218454272449648E+0003  0.8800000000000000E+0002  0.7842453995428314E+0003
  0.1632000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2078999846173249E+0003  0.2132999842177750E+0003  0.4915730044221575E+0003  0.9900000000000000E+0002  0.1011772973257257E+0004
  0.1656000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.4619999658162777E+0002  0.4739999649283889E+0002  0.4851516952359721E+0002  0.2200000000000000E+0002  0.1641151625980639E+0003
  0.1680000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.1704000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1902210374213495E+0004  0.1100000000000000E+0003  0.2480210339585828E+0004
  0.1728000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1996138335076686E+0004  0.1100000000000000E+0003  0.2574138300449019E+0004
  0.1752000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2102061131070810E+0004  0.1100000000000000E+0003  0.2680061096443143E+0004
  0.1776000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2112365965754526E+0004  0.1100000000000000E+0003  0.2690365931126859E+0004
  0.1800000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1951238265073800E+0004  0.1100000000000000E+0003  0.2529238230446133E+0004
  0.1824000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2078999846173249E+0003  0.2132999842177750E+0003  0.3146735522329878E+0003  0.9900000000000000E+0002  0.8348735210680878E+0003
  0.1848000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1847999863265111E+0003  0.1895999859713556E+0003  0.2526822810998538E+0003  0.8800000000000000E+0002  0.7150822533977204E+0003
  0.1872000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2121152106756128E+0004  0.1100000000000000E+0003  0.2699152072128462E+0004
  0.1896000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2077630602861668E+0004  0.1100000000000000E+0003  0.2655630568234001E+0004
  0.1920000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2135755171569111E+0004  0.1100000000000000E+0003  0.2713755136941444E+0004
  0.1944000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2153605502665516E+0004  0.1100000000000000E+0003  0.2731605468037849E+0004
  0.1968000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.4619999658162777E+0002  0.4739999649283889E+0002  0.6332369538337458E+0002  0.2200000000000000E+0002  0.1789236884578412E+0003
  0.1992000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2016000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2040000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2174438352771229E+0004  0.1100000000000000E+0003  0.2752438318143562E+0004
  0.2064000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1151570163511388E+0004  0.1100000000000000E+0003  0.1729570128883722E+0004
  0.2088000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1616999880356972E+0003  0.1658999877249361E+0003  0.2850147408454805E+0003  0.7700000000000000E+0002  0.6896147166061138E+0003
  0.2112000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2078999846173249E+0003  0.2132999842177750E+0003  0.4786871615608875E+0003  0.9900000000000000E+0002  0.9988871303959875E+0003
  0.2136000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.1919477534941572E+0004  0.1100000000000000E+0003  0.2497477500313905E+0004
  0.2160000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.1385999897448833E+0003  0.1421999894785167E+0003  0.1711101972736743E+0003  0.6600000000000000E+0002  0.5179101764970743E+0003
  0.2184000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
  0.2208000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000  0.0000000000000000E+0000
